Year,GEO,After-tax income#Economic families#Median income#2018 constant dollars#units#11100237_StatsCanada
1999,Prince Edward Island,53000
1999,Quebec,56900
1999,"Québec, Quebec",63500
1999,Saskatchewan,58100
1999,"Toronto, Ontario",80900
1999,"Vancouver, British Columbia",72000
1999,"Winnipeg, Manitoba",65800
2000,Alberta,69600
2000,Atlantic provinces,55300
2000,British Columbia,64200
2000,"Calgary, Alberta",73800
2000,Canada,65300
2000,"Edmonton, Alberta",72000
2000,Manitoba,61200
2000,"Montréal, Quebec",60000
2000,New Brunswick,55800
2000,Newfoundland and Labrador,50200
2000,Nova Scotia,57900
2000,Ontario,74100
2000,"Ottawa-Gatineau, Ontario/Quebec",74700
2000,Prairie provinces,65800
2000,Prince Edward Island,54600
2000,Quebec,57900
2000,"Québec, Quebec",64600
2000,Saskatchewan,58800
2000,"Toronto, Ontario",81100
2000,"Vancouver, British Columbia",71100
2000,"Winnipeg, Manitoba",66200
2001,Alberta,76300
2001,Atlantic provinces,56600
2001,British Columbia,66900
2001,"Calgary, Alberta",81400
2001,Canada,68000
2001,"Edmonton, Alberta",77400
2001,Manitoba,62700
2001,"Montréal, Quebec",61700
2001,New Brunswick,57600
2001,Newfoundland and Labrador,50900
2001,Nova Scotia,58700
2001,Ontario,75500
2001,"Ottawa-Gatineau, Ontario/Quebec",79100
2001,Prairie provinces,70900
2001,Prince Edward Island,56200
2001,Quebec,59500
2001,"Québec, Quebec",66100
2001,Saskatchewan,62000
2001,"Toronto, Ontario",83300
2001,"Vancouver, British Columbia",75800
2001,"Winnipeg, Manitoba",66900
2002,Alberta,75400
2002,Atlantic provinces,57200
2002,British Columbia,66500
2002,"Calgary, Alberta",81700
2002,Canada,67800
2002,"Edmonton, Alberta",75500
2002,Manitoba,64100
2002,"Montréal, Quebec",61700
2002,New Brunswick,57900
2002,Newfoundland and Labrador,51600
2002,Nova Scotia,59700
2002,Ontario,76600
2002,"Ottawa-Gatineau, Ontario/Quebec",84700
2002,Prairie provinces,70200
2002,Prince Edward Island,56700
2002,Quebec,59900
2002,"Québec, Quebec",66500
2002,Saskatchewan,61900
2002,"Toronto, Ontario",82900
