Year,GEO,"RATE_Care providers and educational, legal and public protection support occupations [44]#Persons#thousands#14100314_StatsCanada"
2014,"Montréal, Quebec",20.2
2014,"Oshawa, Ontario",3.0
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5.5
2014,"Ottawa-Gatineau, Ontario/Quebec",6.7
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2014,"Peterborough, Ontario",
2014,"Québec, Quebec",3.4
2014,"Regina, Saskatchewan",1.3
2014,"Saguenay, Quebec",
2014,"Saint John, New Brunswick",1.7
2014,"Saskatoon, Saskatchewan",3.3
2014,"Sherbrooke, Quebec",
2014,"St. Catharines-Niagara, Ontario",2.3
2014,"St. John's, Newfoundland and Labrador",1.7
2014,"Thunder Bay, Ontario",
2014,"Toronto, Ontario",42.8
2014,"Trois-Rivières, Quebec",
2014,"Vancouver, British Columbia",23.2
2014,"Victoria, British Columbia",3.6
2014,"Windsor, Ontario",2.3
2014,"Winnipeg, Manitoba",10.3
2015,"Abbotsford-Mission, British Columbia",2.5
2015,"Barrie, Ontario",2.2
2015,"Brantford, Ontario",
2015,"Calgary, Alberta",13.2
2015,"Edmonton, Alberta",11.1
2015,"Greater Sudbury, Ontario",
2015,"Guelph, Ontario",
2015,"Halifax, Nova Scotia",3.6
2015,"Hamilton, Ontario",3.8
2015,"Kelowna, British Columbia",1.7
2015,"Kingston, Ontario",1.8
2015,"Kitchener-Cambridge-Waterloo, Ontario",2.8
2015,"London, Ontario",3.1
2015,"Moncton, New Brunswick",1.7
2015,"Montréal, Quebec",16.4
2015,"Oshawa, Ontario",4.5
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",4.9
2015,"Ottawa-Gatineau, Ontario/Quebec",6.4
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1.5
2015,"Peterborough, Ontario",
2015,"Québec, Quebec",4.5
2015,"Regina, Saskatchewan",1.3
2015,"Saguenay, Quebec",
2015,"Saint John, New Brunswick",1.7
2015,"Saskatoon, Saskatchewan",3.0
2015,"Sherbrooke, Quebec",
2015,"St. Catharines-Niagara, Ontario",2.5
2015,"St. John's, Newfoundland and Labrador",2.1
2015,"Thunder Bay, Ontario",
2015,"Toronto, Ontario",40.6
2015,"Trois-Rivières, Quebec",
2015,"Vancouver, British Columbia",18.7
2015,"Victoria, British Columbia",4.0
2015,"Windsor, Ontario",2.3
2015,"Winnipeg, Manitoba",10.7
2016,"Abbotsford-Mission, British Columbia",1.6
2016,"Barrie, Ontario",1.9
