Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
2002,"Trois-Rivières, Quebec [24442]",0,25,1,64,9,6,72,749
2002,"Vancouver, British Columbia [59933]",137,537,168,395,1,218,1322,16435
2002,"Victoria, British Columbia [59935]",7,89,9,69,533,61,267,4903
2002,"Windsor, Ontario [35559]",39,71,0,52,0,31,146,2896
2002,"Winnipeg, Manitoba [46602]",38,235,14,49,0,43,161,3516
2002,Yukon [60],5,42,2,6,,30,97,2627
2003,"Abbotsford-Mission, British Columbia [59932]",17,53,6,26,0,17,162,784
2003,Alberta [48],87,900,146,973,1,787,1995,46580
2003,British Columbia [59],216,1464,261,1158,0,1053,4027,59823
2003,"Calgary, Alberta [48825]",56,165,67,309,0,94,273,7564
2003,Canada,1329,9763,1101,5897,7,5251,22874,324718
2003,"Edmonton, Alberta [48835]",8,244,12,261,6,118,333,6647
2003,"Greater Sudbury, Ontario [35580]",1,74,2,49,0,13,92,734
2003,"Halifax, Nova Scotia [12205]",35,93,17,44,,100,269,3269
2003,"Hamilton, Ontario [35537]",40,129,52,71,0,104,330,7626
2003,"Kingston, Ontario [35521]",5,38,5,3,1,15,310,1511
2003,"Kitchener-Cambridge-Waterloo, Ontario [35541]",4,106,45,22,,4,78,1761
2003,"London, Ontario [35555]",20,103,12,30,489,26,156,3619
2003,Manitoba [46],34,670,63,112,7,305,949,12372
2003,"Montréal, Quebec [24462]",430,518,37,607,7,470,2022,22551
2003,New Brunswick [13],3,218,4,77,0,121,849,6834
2003,Newfoundland and Labrador [10],0,208,8,61,,90,365,5616
2003,Northwest Territories [61],0,93,2,16,17,42,144,6601
2003,Nova Scotia [12],38,326,25,200,1,327,1115,12754
2003,Nunavut [62],0,218,3,5,1,38,111,4367
2003,Ontario [35],407,3473,479,1103,0,1071,6875,90600
2003,"Ottawa-Gatineau, Ontario part [35505]",44,104,16,74,0,51,366,5662
2003,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",56,187,16,149,3,99,584,7801
2003,"Ottawa-Gatineau, Quebec part [24505]",12,83,0,75,0,48,218,2139
2003,Prince Edward Island [11],1,42,1,45,,42,208,1247
2003,Quebec [24],483,1613,65,1566,,911,4469,51406
2003,"Québec, Quebec [24421]",4,180,1,202,224,49,360,2720
2003,"Regina, Saskatchewan [47705]",6,77,10,181,2,24,31,1326
2003,"Saguenay, Quebec [24408]",2,25,0,13,120,21,121,1055
2003,"Saint John, New Brunswick [13310]",0,42,0,20,0,11,160,971
2003,Saskatchewan [47],58,513,44,559,6,442,1680,23795
2003,"Saskatoon, Saskatchewan [47725]",33,63,15,86,,36,269,2818
2003,"Sherbrooke, Quebec [24433]",2,41,0,34,39,8,116,1059
2003,"St. John's, Newfoundland and Labrador [10001]",0,24,0,5,1,4,58,418
2003,"St.Catharines-Niagara, Ontario [35539]",18,98,25,76,0,19,246,3562
2003,"Thunder Bay, Ontario [35595]",1,47,3,11,0,17,158,1302
2003,"Toronto, Ontario [35535]",205,1180,160,538,10,213,2449,25685
2003,"Trois-Rivières, Quebec [24442]",1,51,4,181,15,14,96,945
2003,"Vancouver, British Columbia [59933]",164,471,170,564,0,245,1418,17652
2003,"Victoria, British Columbia [59935]",10,76,18,80,339,58,296,6085
2003,"Windsor, Ontario [35559]",18,73,6,56,1,47,133,2700
2003,"Winnipeg, Manitoba [46602]",27,265,39,56,0,92,172,3563
2003,Yukon [60],2,25,0,22,0,22,87,2723
2004,"Abbotsford-Mission, British Columbia [59932]",4,50,3,19,0,20,185,1066
2004,Alberta [48],57,970,151,798,15,700,2098,46930
2004,British Columbia [59],132,1171,324,892,1,926,4502,59047
2004,"Calgary, Alberta [48825]",44,178,48,306,7,94,342,6997
2004,Canada,1063,9126,1284,4936,17,5447,24282,325626
2004,"Edmonton, Alberta [48835]",8,267,20,170,4,104,352,6372
2004,"Greater Sudbury, Ontario [35580]",1,75,1,14,1,9,109,589
2004,"Halifax, Nova Scotia [12205]",22,66,18,33,0,88,287,2666
2004,"Hamilton, Ontario [35537]",46,136,39,63,0,104,380,6254
2004,"Kingston, Ontario [35521]",3,45,1,9,3,30,139,1652
2004,"Kitchener-Cambridge-Waterloo, Ontario [35541]",12,119,101,30,,108,186,2430
2004,"London, Ontario [35555]",13,123,9,42,264,45,232,3445
2004,Manitoba [46],42,695,63,119,7,316,988,14749
2004,"Montréal, Quebec [24462]",350,544,36,712,7,414,2093,22155
2004,New Brunswick [13],6,190,8,98,,152,910,8570
2004,Newfoundland and Labrador [10],1,170,4,61,,85,350,5696
2004,Northwest Territories [61],2,86,4,7,29,65,164,8611
2004,Nova Scotia [12],24,247,28,166,0,268,1050,11344
2004,Nunavut [62],0,167,3,2,0,30,112,4717
2004,Ontario [35],334,3407,585,920,,1526,7855,83835
2004,"Ottawa-Gatineau, Ontario part [35505]",67,112,46,70,0,82,385,5445
2004,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",80,159,47,168,0,158,632,8449
2004,"Ottawa-Gatineau, Quebec part [24505]",13,47,1,98,0,76,247,3004
2004,Prince Edward Island [11],0,28,1,28,0,32,197,1218
