Year,GEO,RATE_Housing starts#Apartment and other unit types#Units#units #34100134_StatsCanada
1983,"St. Catharines-Niagara, Ontario",397
1983,"St. John's, Newfoundland and Labrador",204
1983,"Thunder Bay, Ontario",190
1983,"Toronto, Ontario",8770
1983,"Trois-Rivières, Quebec",298
1983,"Vancouver, British Columbia",3863
1983,"Victoria, British Columbia",369
1983,"Windsor, Ontario",13
1983,"Winnipeg, Manitoba",1589
1984,"Barrie, Ontario",12
1984,"Brantford, Ontario",87
1984,"Calgary, Alberta",0
1984,Census metropolitan areas,26705
1984,"Edmonton, Alberta",11
1984,"Greater Sudbury, Ontario",285
1984,"Guelph, Ontario",50
1984,"Halifax, Nova Scotia",461
1984,"Hamilton, Ontario",214
1984,"Kelowna, British Columbia",111
1984,"Kingston, Ontario",412
1984,"Kitchener-Cambridge-Waterloo, Ontario",90
1984,"London, Ontario",230
1984,"Moncton, New Brunswick",50
1984,"Montréal excluding Saint-Jérôme, Quebec",8577
1984,"Oshawa, Ontario",306
1984,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2230
1984,"Ottawa-Gatineau, Ontario/Quebec",3975
1984,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1745
1984,"Peterborough, Ontario",53
1984,"Québec, Quebec",1192
1984,"Regina, Saskatchewan",262
1984,"Saguenay, Quebec",204
1984,"Saint John, New Brunswick",14
1984,"Saskatoon, Saskatchewan",468
1984,"St. Catharines-Niagara, Ontario",72
1984,"St. John's, Newfoundland and Labrador",50
1984,"Thunder Bay, Ontario",59
1984,"Toronto, Ontario",4029
1984,"Trois-Rivières, Quebec",594
1984,"Vancouver, British Columbia",4256
1984,"Victoria, British Columbia",169
1984,"Windsor, Ontario",2
1984,"Winnipeg, Manitoba",1185
1985,"Barrie, Ontario",203
1985,"Brantford, Ontario",36
1985,"Calgary, Alberta",7
1985,Census metropolitan areas,38936
1985,"Edmonton, Alberta",59
1985,"Greater Sudbury, Ontario",9
1985,"Guelph, Ontario",0
1985,"Halifax, Nova Scotia",1218
1985,"Hamilton, Ontario",481
1985,"Kelowna, British Columbia",152
1985,"Kingston, Ontario",466
