Year,GEO,"RATE_British Columbia, province of destination#Persons#units#17100022_StatsCanada"
2004,"Nova Scotia, province of origin",1824
2004,"Nunavut, province of origin",64
2004,"Ontario, province of origin",17232
2004,"Prince Edward Island, province of origin",187
2004,"Quebec, province of origin",2949
2004,"Saskatchewan, province of origin",3450
2004,"Yukon, province of origin",613
2005,"Alberta, province of origin",21138
2005,"Manitoba, province of origin",3811
2005,"New Brunswick, province of origin",785
2005,"Newfoundland and Labrador, province of origin",677
2005,"Northwest Territories, province of origin",464
2005,"Nova Scotia, province of origin",1544
2005,"Nunavut, province of origin",71
2005,"Ontario, province of origin",17285
2005,"Prince Edward Island, province of origin",232
2005,"Quebec, province of origin",3260
2005,"Saskatchewan, province of origin",3304
2005,"Yukon, province of origin",525
2006,"Alberta, province of origin",26154
2006,"Manitoba, province of origin",3621
2006,"New Brunswick, province of origin",789
2006,"Newfoundland and Labrador, province of origin",617
2006,"Northwest Territories, province of origin",419
2006,"Nova Scotia, province of origin",1587
2006,"Nunavut, province of origin",104
2006,"Ontario, province of origin",17537
2006,"Prince Edward Island, province of origin",201
2006,"Quebec, province of origin",3507
2006,"Saskatchewan, province of origin",3158
2006,"Yukon, province of origin",488
2007,"Alberta, province of origin",27149
2007,"Manitoba, province of origin",3227
2007,"New Brunswick, province of origin",743
2007,"Newfoundland and Labrador, province of origin",571
2007,"Northwest Territories, province of origin",427
2007,"Nova Scotia, province of origin",1655
2007,"Nunavut, province of origin",69
2007,"Ontario, province of origin",16629
2007,"Prince Edward Island, province of origin",216
2007,"Quebec, province of origin",3209
2007,"Saskatchewan, province of origin",2952
2007,"Yukon, province of origin",549
2008,"Alberta, province of origin",22956
2008,"Manitoba, province of origin",2945
2008,"New Brunswick, province of origin",622
2008,"Newfoundland and Labrador, province of origin",370
2008,"Northwest Territories, province of origin",341
2008,"Nova Scotia, province of origin",1545
2008,"Nunavut, province of origin",38
2008,"Ontario, province of origin",15649
2008,"Prince Edward Island, province of origin",254
2008,"Quebec, province of origin",2991
2008,"Saskatchewan, province of origin",2852
2008,"Yukon, province of origin",498
2009,"Alberta, province of origin",22870
