Year,Community,Year_mapping,suicide_value,Province
2011,Kitchener - Cambridge - Waterloo,2010/2012,140,Ontario
2011,Brantford,2010/2012,50,Ontario
2011,Guelph,2010/2012,35,Ontario
2011,London,2010/2012,125,Ontario
2011,Windsor,2010/2012,105,Ontario
2011,Barrie,2010/2012,70,Ontario
2011,Greater Sudbury,2010/2012,60,Ontario
2011,Thunder Bay,2010/2012,60,Ontario
2011,Winnipeg,2010/2012,225,Manitoba
2011,Regina,2010/2012,75,Saskatchewan
2011,Saskatoon,2010/2012,85,Saskatchewan
2011,Calgary,2010/2012,395,Alberta
2011,Edmonton,2010/2012,445,Alberta
2011,Kelowna,2010/2012,70,British Columbia
2011,Abbotsford - Mission,2010/2012,35,British Columbia
2011,Vancouver,2010/2012,630,British Columbia
2011,Victoria,2010/2012,140,British Columbia
2012,St. John's,2010/2012,60,Newfoundland and Labrador
2012,Halifax,2010/2012,145,Nova Scotia
2012,Moncton,2010/2012,45,New Brunswick
2012,Saint John,2010/2012,55,New Brunswick
2012,Saguenay,2010/2012,70,Quebec
2012,Quebec,2010/2012,310,Quebec
2012,Sherbrooke,2010/2012,90,Quebec
2012,Trois-Rivieres,2010/2012,85,Quebec
2012,Montreal,2010/2012,1290,Quebec
2012,Ottawa - Gatineau (partie du Quebec,2010/2012,135,Quebec
2012,Ottawa - Gatineau (Ontario part,2010/2012,220,Ontario
2012,Kingston,2010/2012,60,Ontario
2012,Peterborough,2010/2012,30,Ontario
2012,Oshawa,2010/2012,90,Ontario
2012,Toronto,2010/2012,1210,Ontario
2012,Hamilton,2010/2012,190,Ontario
2012,St. Catharines - Niagara,2010/2012,125,Ontario
2012,Kitchener - Cambridge - Waterloo,2010/2012,140,Ontario
2012,Brantford,2010/2012,50,Ontario
2012,Guelph,2010/2012,35,Ontario
2012,London,2010/2012,125,Ontario
2012,Windsor,2010/2012,105,Ontario
2012,Barrie,2010/2012,70,Ontario
2012,Greater Sudbury,2010/2012,60,Ontario
2012,Thunder Bay,2010/2012,60,Ontario
2012,Winnipeg,2010/2012,225,Manitoba
2012,Regina,2010/2012,75,Saskatchewan
2012,Saskatoon,2010/2012,85,Saskatchewan
2012,Calgary,2010/2012,395,Alberta
2012,Edmonton,2010/2012,445,Alberta
2012,Kelowna,2010/2012,70,British Columbia
2012,Abbotsford - Mission,2010/2012,35,British Columbia
2012,Vancouver,2010/2012,630,British Columbia
2012,Victoria,2010/2012,140,British Columbia
